SKU,ListID,MPN,SalesPrice,QuantityOnHand
EAP-RM1-FC-8FT-W,80001202-1550079019,QSG-2507D-White,35.99,0
EAP-SM5-8S,800016D5-1629929347,QSG-0809-Silver,22.25,17
EAP-RM5-8S,800016D6-1629929389,QSG-0814-Silver,35.08,36
EAP-CP1-8S,800010BC-1532037811,QSG-1616-Silver,21.99,26
ETB-A2S8CC-5K,80000C62-1479424566,8FT-T8-36W-50K-CC,37.99,6
ETB-A2S8FC-5K,80000C19-1476466848,8FT-T8-36W-50K-FC,37.99,0
WE-RSL8-MCT5,800016CE-1628370470,RSL8-MCT5,34.99,12
OC-PL-TS-HPL-8,80001462-1575931504,TS-HPL-8,86.4,0
EPS-MDA-96-24,80001A02-1716325637,LMKV-96-24,60,0
MG-E96R24DC,80000EA4-1508429265,E96R24DC,92.5,1
LUX-LR23595,80001642-1614005787,LR23595,46.73,20
OC-PL-TS-HPL-9,80001463-1575931592,TS-HPL-9,89.6,0
LEG-ADPD4FBL3P2G4,80001344-1561643590,ADPD4FBL3P2G4,108.67,0
LEG-ADTP4FBL3PG4,8000134D-1561644989,ADTP4FBL3PG4,139.78,0
LEG-ADTP4FBL3PM4,80000EC8-1509736297,ADTP4FBL3PM4,139.78,0
LEG-ADTP4FBL3PW4,80001157-1540584386,ADTP4FBL3PW4,112.43,2
LEG-ARPTR151GM2,80000461-1380828622,ARPTR151GM2,76.15,4
LEG-ARPTR151GW2,80000457-1380232289,ARPTR151GW2,63.59,-1
LEG-ARPTR151GG2,80001353-1561648347,ARPTR151GG2,76.15,0
LEG-ARTR152G4,80001356-1561649653,ARTR152G4,7.23,0
LEG-ARTR152W4,80000951-1427407493,ARTR152W4,6.19,43
LEG-ARTR152M4,8000043D-1380129546,ARTR152M4,7.23,2
LEG-ARTR153M4,800018CE-1681333819,ARTR153M4,8.85,0
LEG-ARTR153W4,80000C15-1475531635,ARTR153W4,7.49,8
LEG-ARTR153G4,80001358-1561649867,ARTR153G4,8.85,1
LEG-ASPD1532M4,8000044E-1380229594,ASPD1532M4,9.42,23
LEG-ASPD1532W4,80000449-1380228410,ASPD1532W4,7.89,51
LEG-ASPD1532G4,8000133E-1561642681,ASPD1532G4,9.42,-3
LEG-AGFTR2152G4,80001359-1561650224,AGFTR2152G4,55.81,1
LEG-AGFTR2152W4,80000862-1412891845,AGFTR2152W4,45.98,13
LEG-AGFTR2152M4,80000B62-1461007872,AGFTR2152M4,55.81,0
LEG-AGFTR2153G4,8000135B-1561650617,AGFTR2153G4,45.38,0
LEG-AGFTR2153W4,80000C14-1475531523,AGFTR2153W4,52.83,0
LEG-ARPTR152GW2,80000AD4-1454534756,ARPTR152GW2,65.47,-1
LEG-ARPTR152GG2,80001354-1561649477,ARPTR152GG2,78.32,0
LEG-ARPTR152GM2,8000169D-1622669381,ARPTR152GM2,75.79,0
LEG-AC1PFM1,800008BF-1417463889,AC1PFM1,3.74,2
LEG-AC1PFG1,80001A14-1717446708,AC1PFG1,3.74,0
LEG-AC1PFW1,80000A7B-1448924815,AC1PFW1,3.35,1
LEG-ASPD2042M4,80000A1E-1445874670,ASPD2042M4,35.48,6
LEG-ASPD2042G4,80001340-1561642962,ASPD2042G4,35.48,0
LEG-ASPD2042W4,80000955-1427830709,ASPD2042W4,30.17,5
LEG-ARTR202W4,80000997-1435946475,ARTR202W4,13.5,28
LEG-ARTR202G4,80001357-1561649748,ARTR202G4,15.77,0
LEG-ARTR202M4,800009A2-1438031971,ARTR202M4,15.77,0
LEG-AGFTR2202M4,80000950-1427391099,AGFTR2202M4,61.91,0
LEG-AGFTR2202W4,80000986-1432927585,AGFTR2202W4,54,6
LEG-AGFTR2202G4,8000135A-1561650310,AGFTR2202G4,61.91,-1
LEG-AC2PFM1,80000C0F-1473453321,AC2PFM1,3.74,4
LEG-AC2PFW1,800008FC-1421272183,AC2PFW1,3.35,9
LEG-ADPD453LW2,80000956-1427831022,ADPD453LW2,51.05,10
LEG-ADPD453LM2,800006D1-1397592832,ADPD453LM2,60.37,2
LEG-ADPD453LG2,80001345-1561643693,ADPD453LG2,62.38,0
LEG-AC4PFM1,80000F70-1516637310,AC4PFM1,3.69,0
LEG-AC4PFW1,80000F71-1516637330,AC4PFW1,3.27,2
LEG-ADTP703TUG4,8000134C-1561644830,ADTP703TUG4,98.17,0
LEG-ADTP703TUM4,8000044B-1380228950,ADTP703TUM4,98.17,2
LEG-ADTP703TUW4,8000043B-1380129019,ADTP703TUW4,85.36,3
LEG-AABK1M4,80000A65-1448054576,AABK1M4,4.51,10
LEG-AABK1W4,80000B7A-1462477993,AABK1W4,3.85,2
LEG-AABK1G4,80001363-1561659405,AABK1G4,4.51,0
LEG-ACBLKM4,80000900-1421273622,ACBLKM4,3.55,0
LEG-ACBLKW4,800013AE-1566830444,ACBLKW4,3.18,8
LEG-AC6RJ45M1,800008BD-1417463686,AC6RJ45M1,17.09,13
LEG-AC6RJ45G1,80001A11-1717444842,AC6RJ45G1,17.09,0
LEG-AC6RJ45W1,80001086-1529960159,AC6RJ45W1,14.98,0
LEG-ARTRUSB153W4,80000D47-1493762511,ARTRUSB153W4,55.38,0
LEG-ARTRUSB153G4,80001361-1561659190,ARTRUSB153G4,64.88,0
LEG-ARTRUSB153M4,80000D48-1493762610,ARTRUSB153M4,64.88,0
LEG-AWP5GWHW1,800019B0-1705599355,AWP5GWHW1,45.97,0
LEG-AWP5GMG1,80000D0C-1490742226,AWP5GMG1,45.97,0
LEG-AWP5GGR1,80001454-1575058266,AWP5GGR1,45.97,0
LEG-AWP5GTM1,800009A3-1438032701,AWP5GTM1,43.5,0
LEG-AWP5GWH1,80000A03-1444407004,AWP5GWH1,29.37,3
LEG-AWM4GMW4,80000F16-1512068628,AWM4GMW4,134.94,0
LEG-AWM4GMS4,800009A6-1438122206,AWM4GMS4,155.59,0
LEG-AWP4GGR4,80000F92-1518019752,AWP4GGR4,36.91,0
LEG-AWP4GWHW4,800014C9-1586359687,AWP4GWHW4,26.42,4
LEG-AWP4GWH4,80000902-1421794625,AWP4GWH4,23.3,2
LEG-AWP4GTM4,800008BC-1417456766,AWP4GTM4,33.73,9
LEG-AWP4GBR4,8000094D-1427390624,AWP4GBR4,39.22,0
LEG-AWP4GMG4,80000A99-1450722759,AWP4GMG4,36.91,4
LEG-ACBRSTPW1,80001645-1614194137,ACBRSTPW1,13.58,0
LEG-ACBRSTPM1,80000C0E-1473453028,ACBRSTPM1,15.77,0
LEG-WNAH1G1,8000196E-1698764309,WNAH1G1,179,0
LEG-WNAH1W1,8000184F-1661952449,WNAH1W1,166.9,1
LEG-WNAH1M1,800017B4-1650647123,WNAH1M1,179,0
LEG-AWP1G3WHW4,80000D30-1492794490,AWP1G3WHW4,8.66,7
LEG-AWP1G3TM4,80000C58-1478553806,AWP1G3TM4,12.03,9
LEG-AWP1G3BR4,8000094F-1427390936,AWP1G3BR4,12.41,0
LEG-AWP1G3MG4,80000A97-1450722191,AWP1G3MG4,12.41,6
LEG-AWP1G3WH4,800008E9-1419271522,AWP1G3WH4,7.49,14
LEG-AWP1G3GR4,8000145B-1575498599,AWP1G3GR4,12.41,7
LEG-AWP1G2GR6,80000882-1414099111,AWP1G2GR6,12.41,1
LEG-AWP1G2WH6,80000456-1380232116,AWP1G2WH6,7.49,54
LEG-AWP1G2TM6,80000450-1380230006,AWP1G2TM6,11.34,5
LEG-AWP1G2MG6,80000A96-1450722041,AWP1G2MG6,12.41,6
LEG-AWP1G2BR6,80000947-1427389652,AWP1G2BR6,12.41,0
LEG-AWM1G2MW4,80000E6C-1506374103,AWM1G2MW4,48.02,1
LEG-AWM1G2MS4,80000AD1-1454337276,AWM1G2MS4,53.48,0
LEG-AWP1G2WHW10,80000F34-1513029984,AWP1G2WHW10,8.66,6
LEG-ASPD1531M4,80000808-1408025357,ASPD1531M4,14.24,7
LEG-ASPD1531W4,80000807-1408025263,ASPD1531W4,12.1,6
LEG-ASPD1531G4,80001346-1561643814,ASPD1531G4,14.24,0
LEG-ACRJ25M1,80000B6E-1461351663,ACRJ25M1,7.39,0
LEG-ACRJ25W1,800008FD-1421272343,ACRJ25W1,5.63,0
LEG-AWP6GTM1,80000A80-1449269384,AWP6GTM1,52.81,0
LEG-AWP6GWHW1,80001C02-1768839593,AWP6GWHW1,55.81,0
LEG-AWP6GWH1,80000954-1427826260,AWP6GWH1,36.91,0
LEG-AWP6GMG1,80000D0B-1490727266,AWP6GMG1,55.81,0
LEG-AWP6GGR1,800014AE-1581542200,AWP6GGR1,55.81,0
LEG-WNAL10W1,80001850-1661952546,WNAL10W1,99.93,2
LEG-WNAL10G1,80001916-1689181663,WNAL10G1,109.53,0
LEG-WNAL10M1,800017B3-1650647068,WNAL10M1,109.53,0
LEG-WNAL50W1,80001851-1661952614,WNAL50W1,124.91,6
LEG-WNAL50M1,800017B2-1650647015,WNAL50M1,136.91,3
